	Name of Organization	Contact Name	Address	City	State	Address (2)	City (2)	State (2)	GEOFIPS	Zip code	Contact Info	County	Industry	Industry (2nd)	Industry (3rd)	Value Network	Value Network (2nd)	Value Network (3rd)	Business Category	Business Category (2nd)	Business Category (3rd)	# of Employees	Products	Top Three ingredients	Affiliation 	Website	Various Add on	Opening Date	Over Ten Years Running	Economic_Measure_Code
88	Chamber of  Commerce-Haywood Co	CeCe Hipps	28 Walnut St., #1	Waynesville	NC				37087.0	28786	828-456-3021	Haywood	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business promotion	business networking and community promotion		https://haywoodchamber.com/		0		WCUR_REAS_NP00
89	Chamber of  Commerce-Henderson Co	Robert R. Williford 	204 Kanuga Rd.	Hendersonville	NC				37089.0	28739	828-692-1413	Henderson	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business promotion	business networking and community promotion		http://www.hendersoncountychamber.org/		0		WCUR_REAS_NP00
90	Chamber of  Commerce-Highlands		108 Main St.	Highlands	NC				37113.0	28741	828-526-2112	Macon	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business promotion	business networking and community promotion		http://highlandschamber.org/		0		WCUR_REAS_NP00
91	Chamber of  Commerce-Jackson Co	Julie Spiro	773 W Main St.	Sylva	NC				37099.0	28779	828-586-2155	Jackson	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business promotion	business networking and community promotion		http://www.mountainlovers.com/		0		WCUR_REAS_NP00
92	Chamber of  Commerce-McDowell Co	Steve Bush	1170 W Tate St.	Marion	NC				37111.0	28752	828-652-4240	McDowell	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business promotion	business networking and community promotion		http://www.mcdowellchamber.com/		0		WCUR_REAS_NP00
93	Chamber of  Commerce-Polk Co	Linda Howard	2753 Lynn Rd., #A	Tryon	NC				37149.0	28782	828-859-6236	Polk	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business promotion	business networking and community promotion		http://carolinafoothillschamber.com/		0		WCUR_REAS_NP00
94	Chamber of  Commerce-Rutherford Co		162 N Main St.	Rutherfordton	NC				37161.0	28139	 828-287-3090	Rutherford	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business promotion	business networking and community promotion		http://rutherfordcoc.org/		0		WCUR_REAS_NP00
95	Cherokee Cellars Winery		23 Hickory St.	Murphy	NC				37039.0	28906	941-286-0555	Cherokee	Winery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism	Agriculture		0	Winery	Craft wines		https://www.yellowpages.com/murphy-nc/mip/cherokee-cellars-winery-466339725	source grapes from Georgia and North Carolina vineyards, winery in downtown Murphy, giftshop, tasting, art gallery	0		WCUR_REAS_NP00
96	Cherokee Preservation Foundation	Bobby Raines	71 John Crowe Hill Rd.	Cherokee	NC				37173.0	28719	828.497.5550	Swain	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Foundation to Preserve heritage	Funding and training		http://cherokeepreservation.org/featured-grantee/featured-grantee-3/		0		WCUR_REAS_NP00
97	Chestnut	Kevin Westmoreland	48 Biltmore Ave.	Asheville	NC				37021.0	28801	828-575-2667	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	locally sourced food Product	Local Food Guide	https://www.chestnutasheville.com	Farm to table entrees	0		WCUR_REAS_NP00
98	Chestnut School of Herbal Medicine	Juliet Blankespoor	73 Sanford Way	Weaverville	NC				37021.0	28787		Buncombe	Medical Education			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Medicinal plant Education	online courses and emmersion courses		www.chestnutherbs.com	online courses and emmersion courses	0		WCUR_REAS_NP00
99	City Lights Cafe	Bernadette Peters 	3 E Jackson St.	Sylva	NC				37099.0	28779	828-587-2233	Jackson	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Cafe		http://citylightscafe.com/	Locally sourced food products when available	0		WCUR_REAS_NP00
100	CoCoChi, Inc-Skin Fare products	Kara Erikkson	1461 Sand Hill Rd.	Candler	NC				37021.0	28715	828-782-5576	Buncombe	Skin Product			End Consumer Distribution			Personal and Health Care			0	botanical lotions and skin care products	organic ingredients & biodegradable packaging		https://www.facebook.com/SkinFare		0		WCUR_REAS_NP00
101	Coffee Cup Cafe	Heidi	48 Haywood Park Dr.	Clyde	NC				37087.0	28721	828-627-8905	Haywood	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Coffee, Meals	Local Food Guide	https://www.coffeecupcafenc.com		0		WCUR_REAS_NP00
102	Colorful Plate	Ragan and Tara	3871 Sweeten Creek Rd.	Arden	NC				37021.0	28704	828-684-7470	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	http://www.colorfulpalate.com	Wedding Venue	0		WCUR_REAS_NP00
103	Copper Crown Restaurant	Adam Bannasch	1011 Tunnel Rd #100	Asheville	NC				37021.0	28805	828-505-7531	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	http://coppercrownavl.com		0		WCUR_REAS_NP00
104	Copper Pot & Wooden Spoon	Jessica	449 Pigeon St.	Waynesville	NC				37087.0	28786	828-593-0501	Haywood	Food Product			Processing and Wholesale Distribution			Food Manufacturing and Packaging			0	Food Product	Pickles, jams	Local Food Guide	http://www.copperpottraditions.com/index.php		0		WCUR_REAS_NP00
105	Cordyceps Reishi Extracts, LLC		152 Pickens Rd.	Weaverville	NC				37021.0	28787	828-658-1503	Buncombe	Food Product			End Consumer Distribution			Agriculture	Food Manufacturing and Packaging		0	Fungi related products	Mushroom and Fungi		http://cordycepsreishiextracts.com/	Education and product info	0		WCUR_REAS_NP00
106	Corner Kitchen	Kevin Westmoreland	3 Boston Way	Asheville	NC				37021.0	28803	828-274-2439	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	https://thecornerkitchen.com		0		WCUR_REAS_NP00
107	Cucina 24	BRIAN CANIPELLI	24 Wall St.	Asheville	NC				37021.0	28801	828-254-6170	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	http://www.cucina24restaurant.com		0		WCUR_REAS_NP00
108	Curate	Heirloom Hospitality Group	13 Biltmore Ave.	Asheville	NC				37021.0	28801	828-239-2946	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	https://heirloomhg.com		0		WCUR_REAS_NP00
109	Currahee Brewing Company	Brandon Hintz	100 Lakeside Dr.	Franklin	NC				37113.0	28734	828-634-0078	Macon	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		https://www.curraheebrew.com/	Large Brewing facility with outdoor biergarten overlooking the Little Tennessee River.	42552		WCUR_REAS_NP00
110	Daoist Traditions College of Chinese Medical Arts	Jeffrey C. Yuen	382 Montford Ave.	Asheville	NC				37021.0	28801	828-225-3993	Buncombe	Herbal School			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	School to teach Chinese medicine			https://daoisttraditions.edu/		0		WCUR_REAS_NP00
111	De La Terre Skincare and Holistic Spa		47 Haywood Rd.	Asheville	NC				37021.0	28806	828-252-8400	Buncombe	Spa			End Consumer Distribution			Personal and Health Care			0	Facials and holistic spa treatments	wellness products for skin and body		https://delaterreskincare.business.site/		0		WCUR_REAS_NP00
112	Dolci Di Maria	Mary Tantillo	410 Eastside Dr.	Black Mountain	NC				37021.0	28711	828-669-8787	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Food Product		http://www.dolcidimaria.com/		0		WCUR_REAS_NP00
113	Dry Falls Brewing Company		425 Kanuga Rd.	Hendersonville	NC				37089.0	28739	828-989-1292	Henderson	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		http://www.dryfallsbrewing.com/	Production starting in 2018	0		WCUR_REAS_NP00
114	Eagle Feather Organic Farm	Robert Edious	300 Indigo Bunting Ln.	Marshall	NC				37115.0	28753	828-649-3536	Madison	Medical			Raw Materials	End Consumer Distribution		Agriculture			0	Medicinal plant Raw Materials/harvester	Ginseng, Goldenseal, St Johns Wort	Appalachian Grown	http://www.ncgoldenseal.com/index.html		0		WCUR_REAS_NP00
115	Eagle Fork Vineyards		225 Dick Jones Rd.	Hayesville	NC				37043.0	28904	828-389-8466	Clay	Vineyard			Raw Materials	End Consumer Distribution		Tourism	Agriculture		0	Vineyards	Wine and Tours				0		WCUR_REAS_NP00
116	Early Girl Eatery	John and Julie Stehling	8 Wall St.	Asheville	NC				37021.0	28801	828-259-9292	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	http://earlygirleatery.com		0		WCUR_REAS_NP00
117	East Asheville Tailgate Market		954 Tunnel Rd.	Asheville	NC				37021.0	28805	910-515-9145	Buncombe	Tailgate Market			End Consumer Distribution			Agriculture			0	Tailgate Market	produce and value added food products			Seasonal--May to Sept 	0		WCUR_REAS_NP00
118	Eat More Bakery	Rebekah Abrams	P O Box 207	Asheville	NC				37021.0	28802	828-713-5222	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Appalachian Grown	https://eatmorebakery.com	Gluten Free	0		WCUR_REAS_NP00
119	Echoview Fiber Mill		76 Jupiter Rd.	Weaverville	NC				37021.0	28787	855-693-4237	Buncombe	Textile			Processing and Wholesale Distribution	End Consumer Distribution		Home and Garden			0	Clothing	Organic Cotton	Blue Ridge Naturally	https://www.echoviewnc.com/		0		WCUR_REAS_NP00
120	Eclectic School of Herbal Medicine	Thomas Easley	671 Ramey Orchard Rd.	Lowgap	NC				37171.0	27024	336-804-0903	Surry	Education			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	herbal school of medicine	Clinical practioners and certificates		http://eclecticschoolofherbalmedicine.com/		0		WCUR_REAS_NP00
121	Economic Develoment-EBCI	Doug Cole	88 Council House Loop	Cherokee	NC				37021.0	38719	828-359-6709	Jackson	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Industry recruit and retain			https://ebci.com/government/economic-development/		0		WCUR_REAS_NP00
122	Economic Development-Asheville City	Sam Powers	29 Haywood St.	Asheville	NC				37021.0	28802	822-232-4505	Buncombe	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Industry recruit and retain			http://www.ashevillenc.gov/departments/community/default.htm		0		WCUR_REAS_NP00
123	Economic Development-Buncombe Co	Clark Duncan	36 Montford Ave.	Asheville	NC				37039.0	28801	828-258-6134 	Buncombe	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Industry recruit and retain			https://www.ashevillechamber.org/economic-development/		0		WCUR_REAS_NP00
124	Economic Development-Cherokee Co	Paul Worley	2415 Airport Rd.	Marble	NC				37043.0	28905	828-835-9564	Cherokee	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Industry recruit and retain			http://www.cherokeecountyedc.org/		0		WCUR_REAS_NP00
125	Economic Development-Clay Co	Paul Worley	2415 Airport Rd.	Marble	NC				37099.0	28905	828-835-9564	Clay	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Industry recruit and retain			https://claycountyedc.com/		0		WCUR_REAS_NP00
126	Economic Development-Graham Co	Sophia Paulos	12 North Main St.	Robbinsville	NC				37075.0	28771	828-479-7984	Graham	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Industry recruit and retain			http://grahamcountyedc.org/		0		WCUR_REAS_NP00
127	Economic Development-Haywood Co	CeCe Hipps	28 Walnut St., Suite 3  	Waynesville	NC				37087.0	28786	828-456-3021	Haywood	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Industry recruit and retain			http://haywoodedc.org/		0		WCUR_REAS_NP00
128	Economic Development-Henderson Co	Brittany K. J. Brady	330 North King St.	Hendersonville	NC				37089.0	28792	828-692-6373	Henderson	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Industry recruit and retain			http://gohendersoncountync.org/		0		WCUR_REAS_NP00
129	Economic Development-Jackson Co	Rich Price	401 Grindstaff Cove Rd., Suite 	Sylva	NC				37099.0	28779	828-631-2240	Jackson	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Industry recruit and retain			https://www.jacksonthrive.jacksonnc.org/		0		WCUR_REAS_NP00
130	Economic Development-Macon Co	Tommy Jenkins	135 E Main St.	Franklin	NC				37113.0	28734	828-369-2306	Macon	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Industry recruit and retain			http://maconedc.com/		0		WCUR_REAS_NP00
131	Economic Development-Madison Co	Sara Nichols 	5707 U.S. Highway 25/70, Room 2	Marshall	NC				37115.0	28753	828-649-1377	Madison	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Industry recruit and retain			http://investinmadison.com/		0		WCUR_REAS_NP00
132	Economic Development-McDowell Co	Chuck Abernathy	634 College Dr.	Marion	NC				37111.0	28752	828-652-9391	McDowell	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Industry recruit and retain			https://mcdowellnceda.govoffice3.com/index.asp?SEC=42E1C4C6-F183-4EFE-AD24-064188C9192B&Type=B_DIR		0		WCUR_REAS_NP00
133	Economic Development-Polk Co	Brian Griffin	20 East Mills St.	Columbus	NC				37149.0	28722	828-894-2895 	Polk	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Industry recruit and retain			http://www.polknc.org/economic_development/index.php#.Wz5fo8mQw2w		0		WCUR_REAS_NP00
134	Economic Development-Rutherford Co	Tom Johnson	142 East Main St., Suite 100	Forest City	NC				37161.0	28043	828-287-6200	Rutherford	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Industry recruit and retain			http://www.rutherfordncedc.com/		0		WCUR_REAS_NP00
135	Economic Development-Swain Co	Ken Mills	101 Mitchell Street	Bryson City	NC				37173.0	28713	828-488-7838	Swain	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Industry recruit and retain			http://www.swaincountync.gov/economic-development.html		0		WCUR_REAS_NP00
136	Economic Development-Transylvania Co	Josh Hallingse	147 East Main St., Suite 301	Brevard	NC				37175.0	28712	828-393-4130	Transylvania	Government			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Industry recruit and retain			http://transylvaniaalliance.com/		0		WCUR_REAS_NP00
137	Ecusta Brewing	Bill Zimmer	49 Pisgah Hwy #3	Pisgah Forest	NC				37175.0	28768		Transylvania	Brewery	Outdoor		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage and Pisgah Forest Venue		http://www.ecustabrewing.com/	production, taproom, edge of Pisgah Forest	42522		WCUR_REAS_NP00
138	Eden-Out-Meals	William Najger	148 Weaverville Rd.	Woodfin	NC				37021.0	28804	828-645-3336	Buncombe	Restaurant			End Consumer Distribution			Tourism			3	Restaurant 	Meals	Local Food Guide	http://www.eden-out.com/home.html		0		WCUR_REAS_NP00
139	Edible Asheville 	Steven Stedillie	46 Haywood St. 252	Asheville	NC				37021.0	28801	720-470-2652	Buncombe 	Local Guide			End Consumer Distribution			Education and Research			0	Tourism	Online Guide		http://www.edibleasheville.com/		0		WCUR_REAS_NP00
140	Elements Spa and Shop		29W French Broad St.	Brevard	NC				37175.0	28712	828-884-2701	Transylvania	Spa	Market		End Consumer Distribution			Personal and Health Care			0	Spa and End Consumer Distribution shop	Spa Treatments and related products		http://www.elementsspashop.com/	European therapy and Chinese medicine education	0		WCUR_REAS_NP00
141	Elk Mountain Nursery	Craig Mailoux	PO Box 3	Alexander	NC				37021.0	28701	828-683-9330	Buncombe	Floriculture			Raw Materials	End Consumer Distribution		Agriculture			0	Plant Starts	Perennials, Trees, Vines	None	http://www.elk-mountain.com/index.html		0		WCUR_REAS_NP00
142	Eluvium Brewing Company		11 Florida Ave.	Weaverville	NC				37021.0	28787	828-484-1799	Buncombe	Brewery	Tourism		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		http://eluviumbrewing.com/	Production, taproom, rotating food trucks and live music venue	43009		WCUR_REAS_NP00
143	Erics Fresh Fish Market	Eric Hendrix 	1545 Highlands Rd.	Franklin	NC				37113.0	38734	828-587-3474	Macon	Food Product			End Consumer Distribution			Food Manufacturing and Packaging			0	Food Product	Fish		http://ericsfreshfishmarket.com/home.htm	2 locations another one is in Jackson County downtown Sylva	0		WCUR_REAS_NP00
144	Eurisko Beer Company		255 Short Coxe Ave.	Asheville	NC				37021.0	28801	828-774-5055	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		https://euriskobeer.com/	taproom	43132		WCUR_REAS_NP00
145	Farm Burger	Board of Directors	10 Patton Ave.	Asheville	NC				37021.0	28801	828-348-8540	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	http://www.farmburger.net/asheville-nc/		0		WCUR_REAS_NP00
146	Ferenheit Pizza and Brewhouse		17 Lee St.	Asheville	NC				37021.0	28803	828-676-1800	Buncombe	Brewery	Restaurant		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer and Food Products	Craft Beverage		www.fahrenheitpizzabrew.com	Pizzeria with small batch brewing 	0		WCUR_REAS_NP00
147	FernCrest Winery	Kurt and Jan Olson	1060 Main St.	Andrews	NC				37039.0	28901	828- 321-1600	Cherokee	Winery			Raw Materials	Processing and Wholesale Distribution	End Consumer Distribution	Agriculture	Tourism		0	hand crafted Wine	Vineyard, winery, tasting room		http://www.ferncrestwinery.com/	Vineyard and winery located in the Snow Bird community near 	0		WCUR_REAS_NP00
148	Firewalker Hot Sauce	Franco and Ali Donohue	PO Box 137	Asheville	NC				37021.0	28802	828-808-7709	Buncombe	Food Product			Processing and Wholesale Distribution	End Consumer Distribution		Food Manufacturing and Packaging			0	Value added food products	Hot sauce		http://firewalkerhotsauce.com/	committed to handmade small-batch production with locally grown produce; no artificial preservatives, no GMO's, no sugar, no need to refrigerate	0		WCUR_REAS_NP00
149	Flat Rock Village Bakery	Scott Unfried	2710 Greenville Hwy.	Flat Rock	NC				37089.0	28731	828-693-1313	Henderson	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	http://www.flatrockwoodfired.com/bakery/		0		WCUR_REAS_NP00
150	Fletcher Village Bakery	Scott Unfried	235 St John Rd.	Fletcher	NC				37089.0	28732	828-687-7999	Henderson	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	http://www.flatrockwoodfired.com/bakery/index.html		0		WCUR_REAS_NP00
151	Food Matters Market	Board of Directors	1 Market St.	Brevard	NC				37175.0	28712	828-885-3663	Transylvania	Market			Processing and Wholesale Distribution			Agriculture			0	Market	All	Local Food Guide	http://foodmattersmarket.com		0		WCUR_REAS_NP00
152	Forgarty Farms	Nick Fogarty	55 Puritan Pt.	Alexander	NC				37021.0	28701	919-389-1366	Buncombe	Food Product			Raw Materials			Agriculture			2	Food Products	Fruits, Vegetables, Herbs, Flowers	Local Harvest	https://www.localharvest.org/fogarty-farms-of-wnc-M67194	Permaculture	0		WCUR_REAS_NP00
153	French Broad Chocolate lounge	Dan and Jael Rattigan	10 S Pack Square	Asheville	NC				37021.0	28801	828-252-4181	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	https://www.frenchbroadchocolates.com		0		WCUR_REAS_NP00
154	French Broad Food Co-Op	Board of Directors	90 Biltmore Ave.	Asheville	NC				37021.0	28801	828-255-7650	Buncombe	Market			End Consumer Distribution			Agriculture			0	Grocery Store	Full service Market	Blue Ridge Naturally	http://www.frenchbroadfood.coop/		0		WCUR_REAS_NP00
155	French Broad River Brewery		101 Fairview Rd.	Asheville	NC				37021.0	28803	828-277-0222	Buncombe	Brewery	Tourism		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer, Live Music Venue	Craft Beverage		http://www.frenchbroadbrewery.com/	Live Music Venue	36892	Yes	WCUR_REAS_NP00
156	Fresh Quarter		1 Page Ave.	Asheville	NC				37021.0	28801	828-252-0023	Buncombe	Market			End Consumer Distribution			Agriculture	Food Manufacturing and Packaging		0	Produce and value added food products	Fruits, Vegetables, Herbs, Flowers		https://www.grovearcade.com/shopping-dining/fresh-quarter-produce/		0		WCUR_REAS_NP00
157	Frog Hollar Organiks		234 Tommy Boyd Rd.	Waynesville	NC				37087.0	28785	828-627-3363 	Haywood	Farm			Raw Materials			Agriculture			0	Organic compost	Organic soil and compost		http://frogholler.net	Educational classes and workshops on growing organic and starting a farming operation	0		WCUR_REAS_NP00
158	Frog Level Brewing Co.		56 Commerce St. 	Waynesville	NC				37087.0	28786		Haywood	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		http://www.froglevelbrewing.com/	Production and taproom in dog friendly space with outside deck overlooking Richland Creek.	40817		WCUR_REAS_NP00
159	Frogs Leap Public House		44 Church St.	Waynesville	NC				37087.0	28786	828-456-1930	Haywood	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Beer, meals	Local Food Guide	http://frogsleappublichouse.com		0		WCUR_REAS_NP00
160	Gaia Herbs		101 Gaia Herbs Rd.	Brevard	NC				37175.0	28712	(828) 884-4242	Transylvania	Processing and Wholesale Distribution			Raw Materials	Processing and Wholesale Distribution	End Consumer Distribution	Food Manufacturing and Packaging			0	Nutraceutical drinks/supplements			https://www.gaiaherbs.com/pages/detail/10/the-gaia-difference	largest Processing and Wholesale Distribution taking herbal supplements to a more scientific level	0		WCUR_REAS_NP00
161	Gan Shan Station	Patrick O'Cain	143 Charlotte St.	Asheville	NC				37021.0	28801	828-774-5280	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	http://www.ganshanstation.com		0		WCUR_REAS_NP00
162	Garden Deli		107 Town Square	Burnsville	NC				37199.0	28714	828-682-3946	Yancey	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	http://garden-deli.com/restaurant/		0		WCUR_REAS_NP00
163	Gingers Revenge	David Ackley	829 Riverside Dr., Suite 100	Asheville	NC				37021.0	28805	828-505-2462	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Ginger, Gluten Free Craft Beverage		http://www.gingersrevenge.com/		0		WCUR_REAS_NP00
164	Gladheart Farms Distribution	Jonathon Flaum	25 Meadow Rd.	Asheville	NC				37021.0	28803	828-225-1900	Buncombe	Food Product			Processing and Wholesale Distribution	End Consumer Distribution		Agriculture	Food Manufacturing and Packaging		0	Food Products	Milk, yogurt, butter	Local Food Guide	http://www.farmtohomemilk.com/home.php	Milk to home distribution	0		WCUR_REAS_NP00
165	Glass onion		18 N Main St.	Weaverville	NC				37021.0	28787	828-645-8866	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	http://glassonionasheville.com		0		WCUR_REAS_NP00
166	Glorious Forest Apothecary	Amber Brown	 	Marshall	NC				37115.0	28753		Madison	Medical			Processing and Wholesale Distribution	End Consumer Distribution		Personal and Health Care			0	Apothecary	medicinal herbs, tinktures, teas, organic and natural body care		https://gloriousforestfarm.com/pages/contact	small-batch seasonal tinctures and potions made from local plants and crystals, herbal infused honeys and wild fruit jams, beauty products and wild food delicacies.   a variety of earth medicine and natural products that inspire health and a deeper understanding of 	0		WCUR_REAS_NP00
167	Golden Needle acupuncture, herbal and medical supply		2 Rutledge Cir.	Fletcher	NC				37021.0	28732	(828) 676-3829	Buncombe	Medical			Processing and Wholesale Distribution	End Consumer Distribution		Personal and Health Care			0	medicinal supply for acupuncturists	needles, herbs, other tools		https://www.goldenneedleonline.com/		0		WCUR_REAS_NP00
168	Green Man Brewery		23-27 Buxton Ave.	Asheville	NC				37021.0	28801	828-252-5502	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		http://www.greenmanbrewery.com/	Taproom with outside patio	35431	Yes	WCUR_REAS_NP00
169	Green River Farm		10103 Hwy 108 E.	Mill Spring	NC				37149.0	28756	828-894-3431	Polk	Food Product			Raw Materials	End Consumer Distribution		Agriculture			0	Farm	Berries		http://www.berrywerks.com/farms/103819		0		WCUR_REAS_NP00
170	Green River PIcklers	Beau Martin	1286 Old US 25 Hwy.	Zirconia	NC				37089.0	28790	828-335-2727	Henderson	Food Product			Processing and Wholesale Distribution	End Consumer Distribution		Food Manufacturing and Packaging			0	Food Product	Pickled Vegetables	Appalachian Grown	https://www.facebook.com/GreenRiverPicklers	locally sourced, consciously produced, and hand packed in small batches	0		WCUR_REAS_NP00
171	Green River Preserve		301 Green River Rd.	Cedar Mountain	NC				37175.0	28718	828-698-8828	Transylvania	Eco-Farm			Raw Materials			Agriculture	Food Manufacturing and Packaging	Tourism	0	Food Product	Food product and eco-education		https://greenriverpreserve.org/	Summer camp for kids as well	0		WCUR_REAS_NP00
172	Greenlife Grocery Asheville	Board of Directors	70 Merrimon Ave.	Asheville	NC				37021.0	28801	828-254-5440	Buncombe	Market			End Consumer Distribution			Agriculture			0	Grocery Store	Full service Market	Blue Ridge Naturally	https://www.wholefoodsmarket.com/stores/asheville	Bought Out by Whole Foods	0		WCUR_REAS_NP00
173	Guadalupe Cafe	Jen Pearson	606 W Main St.	Sylva	NC				37099.0	28779	828-586-9877	Jackson	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Farm to table	http://www.guadalupecafe.com		0		WCUR_REAS_NP00
174	Guidon Brewing Company		415 8th St.	Hendersonville	NC				37089.0	28792		Henderson	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		https://www.guidonbrewing.com/	Small Batch brewing	0		WCUR_REAS_NP00
175	Habitat Brewing Tavern and Commons		174 Broadway St.	Asheville	NC				37021.0	28801	828-484-6491	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft beer	Craft Beverage		https://www.facebook.com/habitattavernandcommons	Small batch brewing with outside space for community events	42767		WCUR_REAS_NP00
176	Hap Mountain Herbals		PO Box 783	Hot Springs	NC				37115.0	28743		Madison	Farm	Skin Care	Medicin	Raw Materials	Processing and Wholesale Distribution	End Consumer Distribution	Agriculture	Personal and Health Care		0	Herbal remedies	First Aid Remedies, skin Care products, herbal lip balms		www.HapMountainHerbal.com	Hap Mountain Herbal's first-aid remedies, skin-care products, and herbal lip balms are handmade with plants we grow organically in our garden or harvest wild near our remote mountain homestead farm outside . 	0		WCUR_REAS_NP00
177	Harrell Hill Farms	Doug Harrell	2126 Harrell Hill Rd.	Bakersville	NC				37121.0	28705	828-688-9188	Mitchell	Food Product			Raw Materials			Agriculture	Food Manufacturing and Packaging		0	Food Product	Beef, Molasses	Appalachian Grown	http://www.appalachiangrown.org/listing/show/652-harrell-hill-farms	Website is in another language?	0		WCUR_REAS_NP00
178	Hayesville Brewing Company		1568 US-64	Hayesville	NC				37043.0	28904	828-835-6010	Clay	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		https://www.facebook.com/leisa5678/	Small batch brewpub.	42856		WCUR_REAS_NP00
179	Hendersonville Community Co-op	Board of Directors	60 South Charleston Ln.	Hendersonville	NC				37089.0	28792	828-693-0505	Henderson	Market			Processing and Wholesale Distribution			Agriculture			0	Market	All	Local Food Guide	http://www.hendersonville.coop/Home		0		WCUR_REAS_NP00
